"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2025","Edit course","LMS system","Thu Nov 13 21:09:23 MSK 2025","passed","Thu Nov 13 21:09:25 MSK 2025","Courses","Courses","",""
"","1210","Check displaying of empty courses list","LMS system","Thu Nov 13 21:09:18 MSK 2025","passed","Thu Nov 13 21:09:19 MSK 2025","Courses","Courses","",""
"","1319","User login with wrong email or password","LMS system","Thu Nov 13 21:09:05 MSK 2025","passed","Thu Nov 13 21:09:06 MSK 2025","Authorization","Authentication","",""
"","2422","Create course","LMS system","Thu Nov 13 21:09:20 MSK 2025","passed","Thu Nov 13 21:09:22 MSK 2025","Courses","Courses","",""
"","1227","Check displaying of dashboard page","LMS system","Thu Nov 13 21:09:26 MSK 2025","passed","Thu Nov 13 21:09:27 MSK 2025","Dashboard","Dashboard","",""
"","1434","Registration with correct email, username and password","LMS system","Thu Nov 13 21:09:13 MSK 2025","passed","Thu Nov 13 21:09:15 MSK 2025","Registration","Authentication","",""
"","2095","User login with correct email and password","LMS system","Thu Nov 13 21:08:56 MSK 2025","passed","Thu Nov 13 21:08:58 MSK 2025","Authorization","Authentication","",""
"","2267","User login with wrong email or password","LMS system","Thu Nov 13 21:09:10 MSK 2025","passed","Thu Nov 13 21:09:13 MSK 2025","Authorization","Authentication","",""
"","2901","User login with wrong email or password","LMS system","Thu Nov 13 21:09:07 MSK 2025","passed","Thu Nov 13 21:09:10 MSK 2025","Authorization","Authentication","",""
"","4580","Navigation from login page to registration page","LMS system","Thu Nov 13 21:08:59 MSK 2025","passed","Thu Nov 13 21:09:04 MSK 2025","Authorization","Authentication","",""
